id,created_at,lat,lng,address,description,status,confirmed_count,filled_at,expired_at
d9701514-53ac-4f44-8e69-ce3ddf84731f,2026-03-17T12:28:12.940156+00:00,43.4274,-80.5271,1700 Queen's Boulevard Forest Heights,Moderate damage,expired,1,,2026-06-16T03:00:00.216722+00:00
68ba1b92-1b34-4028-ada4-ad36694e3991,2026-03-17T11:21:58.393713+00:00,43.4002,-80.4677,1538 Strasburg Road Huron Park,Hazardous,expired,1,,2026-06-16T03:00:00.216722+00:00
a31849b5-b8b7-4e6b-9c70-ecbdc3d9bee4,2026-03-17T11:21:18.159866+00:00,43.3993,-80.4673,1583 Strasburg Road Trillium Industrial Park,Hazardous,expired,1,,2026-06-16T03:00:00.216722+00:00
e120403f-baa5-4465-af41-01766646ec60,2026-03-17T08:32:09.762656+00:00,43.3972,-80.3646,231 Eagle Street South Preston,Severe damage,expired,1,,2026-06-16T03:00:00.216722+00:00
f316d390-6b03-4aba-973f-b6bd73ea2a29,2026-03-17T07:22:22.735638+00:00,43.4573,-80.4315,Ottawa Street North Idlewood,Hazardous,expired,1,,2026-06-16T03:00:00.216722+00:00
acdf43f0-294e-409f-8d9c-4b83c7aeb2d7,2026-03-17T07:10:58.097383+00:00,43.4109,-80.3996,"4220, King Street East, Pioneer Tower East, Kitchener, Region of Waterloo, Southwestern Ontario, Ontario, N2P 0C9, Canada",Hazardous,expired,1,,2026-06-16T03:00:00.216722+00:00
005e7053-5941-4e0c-b7cf-c62bb9532dbc,2026-03-15T17:20:08.279992+00:00,43.4506,-80.4442,River Road East Stanley Park,Hazardous,expired,1,,2026-06-14T03:00:00.254656+00:00
da6eb3db-14f8-433a-bb4b-5607eff1d07d,2026-03-12T13:59:08.128284+00:00,43.4331,-80.4365,94 Kinzie Avenue Centreville Chicopee,Minor damage,filled,1,2026-05-17T16:42:53.013+00:00,
6280d5e1-9766-4ea6-a863-68b9337a71c3,2026-03-07T16:47:30.955961+00:00,43.4239,-80.4349,111 Fairway Road South Trillium Industrial Park,Spilled my coffee,expired,1,,2026-06-06T03:00:00.182622+00:00
4fe31b99-3a7a-4d3d-931e-c074fa2c8580,2026-03-06T23:24:27.072118+00:00,43.4346,-80.448,1136 Weber Street East Stanley Park,Bent a rim,expired,1,,2026-06-05T03:00:00.177249+00:00
7887f31f-5995-41cb-ba99-31a6a1adb887,2026-03-06T23:23:44.12391+00:00,43.436,-80.4525,1006 Weber Street East Stanley Park,,expired,1,,2026-06-05T03:00:00.177249+00:00
0f7ca399-9864-4185-92c2-70a0d8e4ac6c,2026-03-06T23:22:55.823778+00:00,43.4382,-80.4587,823 Weber Street East Eastwood,Bent a rim,expired,1,,2026-06-05T03:00:00.177249+00:00
829adab6-24c0-4db0-9403-360b3a760da2,2026-03-06T12:12:06.049943+00:00,43.4533,-80.4903,"56, Weber Street West, Downtown, City Commercial Core, Kitchener, Region of Waterloo, Southwestern Ontario, Ontario, N2H 4Z1, Canada",RIP,filled,1,2026-03-29T22:55:28.019+00:00,
22a0d96c-5103-4bd9-b104-a19dafddaa0d,2026-02-26T00:58:22.838239+00:00,43.422,-80.4104,King Street East Pioneer Tower East,Spilled my coffee,expired,1,,2026-05-27T03:00:00.185466+00:00
654bcd74-1ee3-44ba-980a-a216256ec37b,2026-02-25T21:58:55.599511+00:00,43.4483,-80.4826,39 Cedar Street North King East,,filled,1,2026-03-29T22:55:28.614+00:00,
32fcd864-675b-4afe-a9d6-0fda8d0dca2c,2026-02-25T21:58:22.90801+00:00,43.4485,-80.4824,45 Cedar Street North King East,,filled,1,2026-03-29T22:55:30.264+00:00,
3f6ae145-e2ed-4b93-90fc-90070862d010,2026-02-25T00:50:19.014829+00:00,43.4431,-80.5042,61 West Avenue Victoria Park,Caused real damage,filled,1,2026-03-29T22:55:19.245+00:00,
271e59e7-f994-42ac-b88b-36d0c0c4d90d,2026-02-23T18:32:49.326897+00:00,43.4416,-80.4472,301 Franklin Street North Stanley Park,Spilled my coffee,expired,1,,2026-05-25T03:00:00.174605+00:00
